text,created_at,id,user_screen_name,user_location,user_time_zone,coordinates,retweeted,in_reply_to_status_id,in_reply_to_user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @SMcG33 Hit us up for addy,4/26/17 18:45,8.57E+17,Screamin_Tweets,Houston,Mountain Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:45,8.57E+17,SammikcSie,Houston Texas,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @otfdamien831 Party Tonight In Greenfield Hmu for the Addy starts at 1100 Byob lets get it crackin,4/26/17 18:44,8.57E+17,v79jEbCajOrqVcX,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamba sandbrook10 If not can you DM over the order number DOB and email addy Then we can take a closer look,4/26/17 18:44,8.57E+17,kmgcyu,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated official official flyer with the addy,4/26/17 18:43,8.57E+17,_catmand00d,"Aguitada In Edinburg, TX",Central Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @saulv27 my boy @dopeitsgotti throwing Gladstones prom after party  hit me for the addy,4/26/17 18:43,8.57E+17,angenlinavfsam,,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:42,8.57E+17,KimDtBiase4,"New York, London.",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@sandbrook10 If not can you DM over the order number DOB and email addy Then we can take a closer look,4/26/17 18:41,8.57E+17,ASOS_HeretoHelp,London,London,,FALSE,8.57E+17,3003684342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@F0LK1E I wasnt laughing lmao thats just the meme but I was on their doin interview about addy,4/26/17 18:41,8.57E+17,VinDrank2Muchh,,Pacific Time (US & Canada),,FALSE,8.57E+17,2772825941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:40,8.57E+17,ewddingsale,"New York, NY",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CoverdaleKarl I only have 1 email addy Still nothing,4/26/17 18:38,8.57E+17,lorrainedanni,Snodland.Kent.,,,FALSE,8.57E+17,468673948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@KingJaden11 Bet it jus hit me not my muva me Lls n Ill send you the addy if you need it,4/26/17 18:38,8.57E+17,skip_OO, ,Eastern Time (US & Canada),,FALSE,8.57E+17,77340867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addycarter theyre totally twinning now,4/26/17 18:38,8.57E+17,ambrilynichelle,Vibin',,,FALSE,8.57E+17,330437703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the reason i dont do relationships   sighs  i have to come clean my Count @snakestwt bit me Im His He Claimed Me my bloodaddy,4/26/17 18:38,8.57E+17,haiuns, ( RP Â_Â“_ KRPLINERS ),,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:38,8.57E+17,NakaiGsema,Ohio,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @mikeysalazar510 Booked a suite in a hotel on the way back from prom Will drop the ADDY during prom,4/26/17 18:36,8.57E+17,lom_beeach,"San Jose, CA",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:36,8.57E+17,invenoallacssec,"Oklahoma City, OK",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:34,8.57E+17,Sharon2Rutys,Vermont,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@graveyardsoup I LOVE U ADDY And I will throw obnoxious dbt wisdom and validation at u all day u cant stop me,4/26/17 18:34,8.57E+17,modmice,echo Â_Â“Â© 20 Â_Â“Â© she/they,Pacific Time (US & Canada),,FALSE,8.57E+17,134930174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:31,8.57E+17,MegaPlaygroudn,"Chandler, Arizona",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack is Jackster or Mr Moo Adam is Adders Adster or Addy Adster,4/26/17 18:30,8.57E+17,motherhustlers,"York, England",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack is Jackster or Mr Moo Adam is Adders Adster or Addy Adster,4/26/17 18:30,8.57E+17,wilkikm,York,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:29,8.57E+17,TysonInfoc,Texas,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@simplymickaela Send me your email addy via DM and Ill send ya all the details,4/26/17 18:28,8.57E+17,MoveWithDoyin,London,,,FALSE,8.57E+17,129296578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:27,8.57E+17,ackenamy,Montana,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The things you can learn by getting out and visiting classrooms Great work by Addy Morgan and Karlie McClain@lcwi,4/26/17 18:27,8.57E+17,LCHSone,"Lawenceburg, Tennessee",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @nicolethesavage Addy say  Break her heart for the culture   aw man,4/26/17 18:26,8.57E+17,bobthatback01,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is a rock gig tonight You should come Midgut Sin Cave Fight and special guest Ingrown Please come Please clap Hit me for addy,4/26/17 18:25,8.57E+17,alexmarshall208,,Arizona,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:25,8.57E+17,timothy_obckr,Hawaii,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addy plug hmu,4/26/17 18:25,8.57E+17,Kai_baii,,Central Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New track from addy khayal ft Chronicalz,4/26/17 18:23,8.57E+17,VHANIZV,Malaysia,Beijing,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addylewd  Do you travel outsideof Homeworld controlled territories Maybe thats why you havent seen many gems,4/26/17 18:20,8.57E+17,TheBlueGPearl,Beach City,,,FALSE,8.57E+17,3342440327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @lijahson Honestly sick of your dumbassIm only friends with you for the beachhouse addy omm,4/26/17 18:20,8.57E+17,_marynell_,Somewhere in houston,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @lijahson Honestly sick of your dumbassIm only friends with you for the beachhouse addy omm,4/26/17 18:19,8.57E+17,savagejalo,,Eastern Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addylewd Yes please,4/26/17 18:17,8.57E+17,RRoseluck,serching for a master ,,,FALSE,8.57E+17,3342440327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addylewd Blu tilts her head a bit to the left as she was a bit confused Since you saw a fellow gem,4/26/17 18:16,8.57E+17,TheBlueGPearl,Beach City,,,FALSE,8.57E+17,3342440327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julie Addy currently starring and touring Bag for Life,4/26/17 18:14,8.57E+17,UAIreland17,Belfast,London,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@tttinplay Whats your email addy pls Thanks,4/26/17 18:14,8.57E+17,ROCE1900,,,,FALSE,8.57E+17,3000546844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @ran17 It doesnt get any more real than this Send me your addys people this is the real deal,4/26/17 18:14,8.57E+17,dancerally01,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @UglyAnglesh Pull up on Thursday 2 Addy1223 montana st,4/26/17 18:13,8.57E+17,MaliqueSonyae,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@QuentinMiller Addy is fire too,4/26/17 18:13,8.57E+17,tommyrayleon,,,,FALSE,,202775347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@tyreej5 whats Jordans addy Ima ho over his house when i leave,4/26/17 18:12,8.57E+17,Its_JTT,Earth (chilllllllin),Pacific Time (US & Canada),,FALSE,,714274681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addylewd Im doing well Just roaming around for a bit,4/26/17 18:12,8.57E+17,TheBlueGPearl,Beach City,,,FALSE,8.57E+17,3342440327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@lilinchworm I took a anthropology final in less than 10 minutes on addy when I was at vcu I felt like I knew every question and got a C,4/26/17 18:12,8.57E+17,EpicurusEgg,,,,FALSE,8.57E+17,3386753003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umm question Where can you get your nails done for only 20  can you drop the addy,4/26/17 18:10,8.57E+17,_madison24,"Torrance, CA",Arizona,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welp our tax  at work#govtspending same name addy and daywhy not one envelope,4/26/17 18:10,8.57E+17,ladyditwin,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:10,8.57E+17,MercerWSocecr,Minnesota,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addy help the pain yaaaa,4/26/17 18:09,8.57E+17,Nas_Mora,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:08,8.57E+17,mal_hurnet,Oregon,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addylewd Thats thats good to hear She holds both of her hands together near her midsection,4/26/17 18:08,8.57E+17,TheBlueGPearl,Beach City,,,FALSE,8.57E+17,3342440327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NP @IAMSU  Addy ft @SnoopDogg  OnAir 905 #KSJSfm #TheMarauder,4/26/17 18:08,8.57E+17,La_TOR,"San Jose, CA",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop the addy,4/26/17 18:07,8.57E+17,HennaJunter,"Mustang, OK",Central Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@FionaJoseph Great stuff thanks DM us your email addy Yes were still doing the heritage talks Next one is abou,4/26/17 18:06,8.57E+17,GunmakersBrum,"Birmingham, England",Pacific Time (US & Canada),,FALSE,8.57E+17,25050473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:06,8.57E+17,BoneWorder1,New York,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @lijahson Honestly sick of your dumbassIm only friends with you for the beachhouse addy omm,4/26/17 18:03,8.57E+17,the_boxer7,"Houston, Texas",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:03,8.57E+17,WebBizTadyo,"New York, NY",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honestly sick of your dumbassIm only friends with you for the beachhouse addy omm,4/26/17 18:03,8.57E+17,lijahson,celeste,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can say you have strategy on jetpack cod but in reality its about what 12 yr old took the most addy,4/26/17 18:03,8.57E+17,Monitizee,MWR ,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFW WHEN U SIPPIN ON WARM LEMON HERBAL WATER N U TOOK A NAP B4 U WOKE UP ON ADDY  SIPPIN ON,4/26/17 18:02,8.57E+17,hardH2Oprincess,DEEP SOUTH ASTRAL ,Central Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 18:02,8.57E+17,HomeSpeechoHem,"Phoenix, Arizona",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@PhilWhi7 Done I got it for you DM me your Addy and Ill post it x,4/26/17 18:01,8.57E+17,itsJuliaHardy,London,London,,FALSE,8.57E+17,273041157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unless someone in this house has an addy for me theres no way I can be expected to fold 1200 pairs of socks,4/26/17 18:01,8.57E+17,angellllopez,Vegas/Livonia,Central Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so my birthday party is friday hit me up for details and the addy if you tryna get lit w us,4/26/17 18:01,8.57E+17,shelbi_jo_,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 17:59,8.57E+17,bekaosdho,"palm coast, florida, usa",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @lKeepItReaI STOP POSTING BOMB ASS FOOD WITH NO LOCATION DROP THE ADDY STORE NAME AND PRICE,4/26/17 17:59,8.57E+17,aLiZa_03,India,Chennai,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they always say addy styz,4/26/17 17:58,8.57E+17,louisandharee,,Eastern Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Isabelleroseee Im surprised I havent emailed u yet lmao Whats your addy sis,4/26/17 17:58,8.57E+17,akirat123,AZ | NY ,,,FALSE,8.57E+17,1031370468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 17:58,8.57E+17,dtsamuelson,Washington State,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addyasby22 Thanks girl  I cant wait,4/26/17 17:56,8.57E+17,maddiebrenner26,,,,FALSE,8.57E+17,542151212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@EDamite @ToysxldieR it comes out on a Friday too That means straight 72 hours of playing with addy being my breakfast lunch and dinner,4/26/17 17:56,8.57E+17,ShaneFitz76,Pittsburgh/University Heights,Eastern Time (US & Canada),,FALSE,8.57E+17,911414497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 17:56,8.57E+17,85Lesnykh,"Beverly Hills, New York.",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@addyrae1 Dawww This was so cute lt33 thank you,4/26/17 17:55,8.57E+17,Miyanoai,PA,Pacific Time (US & Canada),,FALSE,8.57E+17,718883760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Ill give a mf a bad addy in a min,4/26/17 17:55,8.57E+17,SmAcKtht_,DTX,Mountain Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@AdelaideKane ADDY I NEED MOTIVATION  GIVE ME MOTIVATION PLEASE,4/26/17 17:54,8.57E+17,thirteasonwhy,cool name bro,Pacific Time (US & Canada),,FALSE,,25248601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 17:54,8.57E+17,betty09w03u,"New York, New York",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamba sammydavis123 Were sorry about this  Drop us a DM with your order number email addy and date of birth,4/26/17 17:54,8.57E+17,kmgcyu,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@sammydavis123 Were sorry about this  Drop us a DM with your order number email addy and date of birth,4/26/17 17:53,8.57E+17,ASOS_HeretoHelp,London,London,,FALSE,8.57E+17,2187240055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @AmirsDollHouse Its that time of the year again  4 more weeks You can dm me or text me for the addy,4/26/17 17:53,8.57E+17,AmirsDollHouse_,,Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 17:52,8.57E+17,MrGabrielCartso,"1674 Broadway, New York, NY",Pacific Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @elmaaark MAY 6th Addy will be going out the day of If we know you we wont charge you,4/26/17 17:51,8.57E+17,messiahluis,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@LexyLove i can come over or you and addy can come here,4/26/17 17:51,8.57E+17,hunnerr_marie,,Arizona,,FALSE,8.57E+17,776115960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 17:50,8.57E+17,BakerBusisnes,Maryland,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listening to    IAMSU Ft Snoop Dogg  Addy #nowplaying,4/26/17 17:50,8.57E+17,RoffaboyS,#3027 Roffa all day,Athens,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @OgKeeeyy Aye man Say man them damn sisters having a pool party May 13th 2k17 BYOW  come turn up wit us dm me for addy,4/26/17 17:48,8.57E+17,OgKeeeyy,5900 Southbank,Eastern Time (US & Canada),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like addy said trio headin out soon after we kill it in softball #GulfShores,4/26/17 17:47,8.57E+17,AlyssaLillyy,The Nam,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @damnbrandont @itndylAn like weed in la send addy coming to buy some now lol need to smoke before this flight to africa,4/26/17 17:47,8.57E+17,GMCoisn,new york citaaayyy,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @ran17 It doesnt get any more real than this Send me your addys people this is the real deal,4/26/17 17:47,8.57E+17,nealariele,AZ ,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addy made you do it,4/26/17 17:46,8.57E+17,MyNameSem_,,Quito,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
